ID Comentario,Nome do usuário,Mensagem,Ándre,Vinícius
1785324111760883_1785330145093613,Antonio Carlos Vieira Barreto,"Outro dia assistir um vídeo de um ilustre morador de rua da cidade de São Paulo, com conhecimento e desenvoltura infinitamente maior que  Bolsonaro.",2,2
1785324111760883_1785546888405272,Alexandre Souza,"Vc viu uma entrevista do Bolsonaro, vc viu todas! As mesmas respostas prontas, decoradas. Só mesmo muito ignorante pra confiar o futuro do país na mão desse boçal.",2,2
1785324111760883_1785345658425395,Geilson Oliveira,"Kkkkkkkkkkkkkkk, Ou seja o Bolsonaro não sabe de Nada??",4,2
1785324111760883_1785388068421154,Jorge Rodrigues Goncalves,"Mas o ministro vai ter que falar o que está fazendo para o presidente aprovar.O Bolso vai entender?É muito ignorante,nunca administrou nada.kk",2,2
1785324111760883_1912766568975458,Lilya Potel,"Até parece que o Lula saberia responder sobre o tripé...ia achar que é"" tripéx "".Não curto o homofóbico do Bolsonaro mas esse cara q pergunta se faz tb de entendido",2,2
1785324111760883_1785378851755409,Rogeres Sousza,"O maior adversário do Bolsonazi é ele mesmo, basta ele abrir a boca e pronto, a máscara de mito cai.",2,2
1785324111760883_1785953325031295,Alexandre Esvobda,HAHAHAHAHAH. Que repórter pentelho. Deixando o Bolsonaro na merda.,2,2
1785324111760883_1785954955031132,Flávio Fernandes,já viu aqueles vídeos dos vendedores que n sabem dar troco nem somar. vai ser o Bolsonaro montando a equipe econômica,2,2
1785324111760883_1785497541743540,Cecília Ceciliato,Vai bolsomions! Continuem seguindo o Boçal mais burro e termina de vez explodindo com o país.,2,2
1785324111760883_1785391425087485,Maria Carneiro,Bolsonaro é muito assustado!  Fica nervoso o tempo todo.,2,2
1785324111760883_1785564758403485,Sabrina Vieira,Bolso💩 sem argumentos!!! A-M-E-I 😍😂😂😂😂😂,2,2
1785324111760883_1785548871738407,Carlos Carlos Gomes Pereira,kkkkk rapaz esse Bolsobosta e comédia mesmo,2,2
1785324111760883_1785551431738151,Maria Elisabete Pereira Camboim,BOLSONAREÚ BURRO!!!,2,2
1785324111760883_1960034380925443,Francisco Cidrao,Pede pra sair  bolsonaro  vai passar vergonha,2,2
1785324111760883_1785946265032001,Vinicius Almeida,Mal começou a corrida eleitoral e Bolsonaro já está acabado,2,2
1785324111760883_1785573825069245,Samanta Azevedo,"Bolsonaro, o cara mais estúpido que já conheci...",2,2
1785324111760883_1785529778406983,Paulo Veeck,Não serve nem pra líder comunitário e quer ser presidente esse inseto. #bolsolixo,2,2
1785324111760883_130791084306671,Auxiliadora Santos,Manda esse tal de se bolsonaro comer capim que ele é muito é burro,2,2
1785324111760883_1785816935044934,Elisabete Eufrazilva,"Bolsonaro, não,pelo amor de Deus!",2,2
1785324111760883_1785703688389592,Jean Loiola,"Marcelo, o Bolsonaro é uma anta.",2,2
