ID Comentario,Nome do usuário,Mensagem,Ándre,Vinícius
1009026819197921_805073846300069,Filipe Barcellos,"Por isso que chamam Bolsonaro de torturador, olha a tortura que ele está fazendo com os mortadelas na própria página deles!! Hahahaha",6,6
1009026819197921_569333529928424,Clarice Veloso Lage,"Para um futuro melhor para nossos filhos , mais segurança faculdade organizada. Volta dos valores familiares. BOLSONARO JÁ.",4,4
1009026819197921_1266486200103587,Francisco Xavier,"Bolsonaro é o Moro da Câmara. Ambos são um exército de um só homem. Eles precisam do apoio do povo, senão tudo será perdido!",4,5
1009026819197921_1811964642375567,David Henrique,"Que opressão em cima deles meus Deus hahahhaha , #Bolsonaro2018",1,1
1009026819197921_1888320954759933,Tiago Pimentel,"Milhões de vozes que pedem por um Brasil descente, eu digo repetidamente, Bolsonaro Presidente",1,1
1009026819197921_569354926592951,Tico Meirelles,Ai numa pesquisa no face dos Petralhas pra quem o povo escolheria pra presidir a camara e ai pah...Bolsonaro arrebentando hahahaha,1,1
1009026819197921_247036862390000,Bruna Stein,Vergonha alheia! Página esquerdista e mesmo assim o Bolsonaro tá bombando!!! #ChoraMais #BolsonaroNaCâmara,1,1
1009026819197921_1596444243705059,Brenner Mynssen,Bolsonaro Presidente da Câmara e do Brasil,1,1
1009026819197921_338566433204007,Augusto Lima,Jair bolsonaro Presidente do Brasil,1,1
1009026819197921_1893918104178615,Carlos Valduga,Bolsonaro não ganha a presidência da Câmara. Mas 2018 tá bem aí.. Bolsonaro 2018,3,3
1009026819197921_1196722367043230,Carlos Viegas,"Sorte que pra ser deputado não pode ser mentalmente incapaz e precisa ser maior de 16 anos, senão, como vemos, o Bolsonaro seria eleito.",2,2
1009026819197921_1325237567537009,Bruno Regis Oliveira,"BOLSONARO,  o único ficha limpa.",1,1
1009026819197921_224544811348731,Douglas Fagundes,"Como passar vergonha??  O PT te ensina através dos seus líderes, Bolsonaro presidente 2018!!!!",4,4
1009026819197921_1770227479964840,Marcos,".
Vão votar no #Bolsonaro sim. E se achar ruim vão fazer campanha eleitoral gratuita pra ele.",1,1
1009026819197921_1357016624318857,Fran Amaral,Já é a segunda página de esquerda que abre esse tipo de votação e o Bolsonaro ganha de lavada 😂😂😂 chupa chupa chupa 🙌🙌🙌🙌🙌,1,1
1009026819197921_1196719120376888,Alisson Pavani,aquele momento em que Jair Messias Bolsonaro ganha até em pagina petista não tem preço =D,1,1
1009026819197921_1266464260105781,Douglas Fagundes,Se mostrar algum envolvimento do Bolsonaro em corrupção eu mudo meu voto!,4,4
1009026819197921_103155560203950,Alexandre Raiol Vieira,"Que surra bonita que o Bolsonaro deu no resto dos candidatos! 
Imagina nas eleições para presidente da República! 
#somostodosbolsonaro",1,1
1009026819197921_1931979830357195,Henrique Sigoli,"Página petista tomando coro!! 
Chora esquerda!! 
BOLSONARO PRESIDENTE!!!",4,4
1009026819197921_247047169055636,Marco Antonio Rodrigues,"Eu preferia Bolsonaro imperador, mas presidente da câmara já é um começo :)",1,1
1009026819197921_1596537230362427,Jose Marcos,"""Soldado que vai a guerra com medo de morrer é um covarde""
                          Jair Messias Bolsonaro",5,5
