ID Comentario,Mensagem,Classificação,,,,,,,,,,,,
1009026819197921_1811964642375567,"Que opressão em cima deles meus Deus hahahhaha , #Bolsonaro2018",1,,,,,,,,,,,,
1009026819197921_1888320954759933,"Milhões de vozes que pedem por um Brasil descente, eu digo repetidamente, Bolsonaro Presidente",1,,,,,,,,,,,,
1009026819197921_569354926592951,Ai numa pesquisa no face dos Petralhas pra quem o povo escolheria pra presidir a camara e ai pah...Bolsonaro arrebentando hahahaha,1,,,,,,,,,,,,
1009026819197921_247036862390000,Vergonha alheia! Página esquerdista e mesmo assim o Bolsonaro tá bombando!!! #ChoraMais #BolsonaroNaCâmara,1,,,,,,,,,,,,
1009026819197921_1596444243705059,Bolsonaro Presidente da Câmara e do Brasil,1,,,,,,,,,,,,
1009026819197921_338566433204007,Jair bolsonaro Presidente do Brasil,1,,,,,,,,,,,,
1009026819197921_1325237567537009,"BOLSONARO,  o único ficha limpa.",1,,,,,,,,,,,,
1009026819197921_1770227479964840,".
Vão votar no #Bolsonaro sim. E se achar ruim vão fazer campanha eleitoral gratuita pra ele.",1,,,,,,,,,,,,
1009026819197921_1357016624318857,Já é a segunda página de esquerda que abre esse tipo de votação e o Bolsonaro ganha de lavada 😂😂😂 chupa chupa chupa 🙌🙌🙌🙌🙌,1,,,,,,,,,,,,
1009026819197921_1196719120376888,aquele momento em que Jair Messias Bolsonaro ganha até em pagina petista não tem preço =D,1,,,,,,,,,,,,
1009026819197921_103155560203950,"Que surra bonita que o Bolsonaro deu no resto dos candidatos! 
Imagina nas eleições para presidente da República! 
#somostodosbolsonaro",1,,,,,,,,,,,,
1009026819197921_247047169055636,"Eu preferia Bolsonaro imperador, mas presidente da câmara já é um começo :)",1,,,,,,,,,,,,
1009026819197921_224551688014710,"o melhor para o Brasil é o grande mito Jair bolsonaro

aceitem que dói menos",1,,,,,,,,,,,,
1009026819197921_1305000422927398,bolsonaro vai dar um tratoo bem dado no pais! hj ele eh a melhor opçao,1,,,,,,,,,,,,
1009026819197921_1871877116420081,"26 mil votos para Bolsonaro, que lavada. Se fosse o povo de bem que escolhesse o presidente da Câmara, ele já estava eleito.",1,,,,,,,,,,,,
1009026819197921_1767150280273016,BOLSONARO NELES! DEFENSOR DE BANDIDO MERECE BALA NA CABEÇA!,1,,,,,,,,,,,,
1009026819197921_1196783900370410,Bolsonaro para presidente do Brasil,1,,,,,,,,,,,,
1009026819197921_1853564098256332,"Quase votei no sorriso sem querer só de ver essa lavada que estamos dando no PT...
Bolsonaro, me representa",1,,,,,,,,,,,,
1009026819197921_2294914440647459,Bolsonaro ganhando na página esquerdista kakakakakakka povo acordado choro é livre #B2018,1,,,,,,,,,,,,
1009026819197921_164207940739716,"Galera comemorando o Bolsonaro ter perdido...

Em.um.antro de ladrões, ele ter perdido foi a melhor lição que tivemos hoje...",1,,,,,,,,,,,,
1009026819197921_1892795274299172,Jair Bolsonaro é claro mas isso é pequeno demais pra ele. ele tem que ser Presidente do Brasil,1,,,,,,,,,,,,
1009026819197921_1931994400355738,"PT, obrigada por mostrar pro Brasil que BOLSONARO É NOSSA VONTADE",1,,,,,,,,,,,,
1009026819197921_244297916019224,Ver os petralhas perdendo na própria página não tem preço 😂😂 #Bolsonaro2018,1,,,,,,,,,,,,
1009026819197921_1888304578094904,"Pela memória de Carlos Alberto Brilhante ustra, eu voto Bolsonaro.",1,,,,,,,,,,,,
1009026819197921_1932016580353520,É nós temos que pedir votos para o homem que vai mudar o Brasil bolsonaro,1,,,,,,,,,,,,
1009026819197921_1357001040987082,"Bolsonaro, com certeza... nós o apoiamos e olha que ele nem ofereceu pão com mortadela... faço campanha gratuita mesmo.😉",1,,,,,,,,,,,,
1009026819197921_1398000293577653,"De mar à mar, de zero a mil, queremos Bolsonaro presidente do Brasil. 🎊🎈🎊🎈",1,,,,,,,,,,,,
1009026819197921_606664126190909,Sou Bolsonaro pra presidente do Brasil... vamo tirar esses ladrões (PT e PSDB) do poder!!!,1,,,,,,,,,,,,
1009026819197921_210786452724345,Somos todos soldados do Brasil... vamos juntos com nosso capitão.. Bolsonaro 2018,1,,,,,,,,,,,,
1009026819197921_1874164132852788,"Chupa, esquerdalha. O povo cansou..Jair Messias Bolsonaro na cabeça!",1,,,,,,,,,,,,
1009026819197921_1590820114280378,"Aqui da p comprovar a dicotomia gigantesca entre a vontade do povo e dos Deputados,  Bolsonaro mais de 7mil, Rodrigo Maia menos de 50votos",1,,,,,,,,,,,,
1009026819197921_1596455787037238,Bolsonaro iremos ficar de olho em quem votou em vc... 2018 tem eleições.. Bolsonaro Presidente do Brasil... pq em 2018 quem escolhe é o POVO,1,,,,,,,,,,,,
1009026819197921_244303169352032,Bolsonaro presidente  da Câmara  E presidente  do Brasil presisamos  d político com coragem  d falar a verdade,1,,,,,,,,,,,,
1009026819197921_614570275392716,"Bolsonaro presidente hoje 
Bolsonaro presidente amanhã 
Bolsonaro presidente para sempre 
Hsuahushsuahauhsuahsuahhsuahsuhs",1,,,,,,,,,,,,
1009026819197921_1009029699197633,"Depois dá traição que o PT fez, votando em golpista.
Eu vou agora é de Bolsonaro",1,,,,,,,,,,,,
1009026819197921_1888306344761394,Lavada do Bolsonaro! Derrota do PT em casa. É melhor JAIR se acostumando.,1,,,,,,,,,,,,
1009026819197921_1325241267536639,Bolsonaro viva o merecedor de tudo de bom ai neste Senado! Ele dara uma moral nesta bagunca!,1,,,,,,,,,,,,
1009026819197921_893467947459555,Colocaram uma foto do Bolsonaro com cara de mal só pra queimar o filme dele. VOTARIA NO BOLSONARO,1,,,,,,,,,,,,
1009026819197921_1893922830844809,"Msm colocando o Mito com cara de mau pra influenciar negativamente, não vai ter jeito. É Bolsonaro hoje e em 2018!!!!!",1,,,,,,,,,,,,
1009026819197921_1811987659039932,"Eles não desistem de passar vergonha, o Bolsonaro sempre ganha disparado 😂😂😂😂
#Bolsonaro2018",1,,,,,,,,,,,,
1009026819197921_210763826059941,"Eu tenho 17 anos e em 2018 
estarei com 18 eh ja voto queridos 
#Bolsonaro2018",1,,,,,,,,,,,,
1009026819197921_250248838734222,"Perdão! Não tinha atentado para os nomes.  Sou mulher, mais sou mais Bolsonaro.",1,,,,,,,,,,,,
1009026819197921_1304978899596217,"Jair Messias Bolsonaro Mito! 
Fazendo valer a realidade na página dos próprios PTralhas! 
Huhauheuhauheauheuahue",1,,,,,,,,,,,,
1009026819197921_261164030987464,Nunca esperei tão ansioso uma eleição igual estou esperando essa pra presidente.  Bolsonaro vai da uma lavada,1,,,,,,,,,,,,
1009026819197921_261109414326259,hahahaha... Jair Messias Bolsonaro presidente em 2018! Choooooooooora petista!,1,,,,,,,,,,,,
1009026819197921_226724144398130,Tem enquete com BOLSONARO??????? tô votando nele! Chupa esquerdistas vagabundos,1,,,,,,,,,,,,
1009026819197921_1766799026972020,Chance dele é mínima. Mas para presidente em 2018 somos nós quem iremos escolher! #bolsonaro,1,,,,,,,,,,,,
1009026819197921_1246487735442211,Bolsonaro neles! Presidente da Câmara e da República Federativa do Brasil.,1,,,,,,,,,,,,
1009026819197921_261097617660772,"Falam tanta coisa do bolsonaro, mais não vejo ninguém chamá-lo de corrupto 🤔🤔 ué",1,,,,,,,,,,,,
1009026819197921_1359863340742846,"Bolsonaro, o único que devolveu dinheiro da JBS. O único honesto! Bolsonaro Presidente!",1,,,,,,,,,,,,
1009026819197921_191560227989596,Bolsonaro n qer presidir a câmara n ele quer o presidir o Brasil kkk bolsonaro2018 melhor jairrrrrr se acostumando ptzada corrupta,1,,,,,,,,,,,,
1009026819197921_1720428167982824,Que vergonha hein? Bolsonaro ganhando de lavada em pagina de esquerda? Qual o argumento?,1,,,,,,,,,,,,
1009026819197921_458384287618725,"Já vejo a página dizendo ""Amigos, creio que houve algum erro na enquete!"" #SomosTodosBolsonaro",1,,,,,,,,,,,,
1009026819197921_1811971102374921,"É melhor Jair se acostumando com nosso futuro presidente.
Jair Messias Bolsonaro!",1,,,,,,,,,,,,
1009026819197921_244292452686437,Bora trabalha .Mas bolsonaro e o melhor para todos os brasileiros.Fui galera,1,,,,,,,,,,,,
1009026819197921_261129740990893,Bolsonaro um dos poucos políticos ficha limpa no congresso. Só tem projetos que beneficia o povo como todo. Futuro presidente siiim!,1,,,,,,,,,,,,
1009026819197921_1196758310372969,Eleitores informados seguem os dois lados só pra ter ainda mais certeza da escolha... #Bolsonaro2018,1,,,,,,,,,,,,
1009026819197921_1389530541097993,Colocaram a carinha de raiva pro bolsonaro mas mesmo assim ele ganha,1,,,,,,,,,,,,
1009026819197921_2218152108410897,Pelo fim de projetos sociais que só ajudam criar mais vagabundos.. Bolsonaro,1,,,,,,,,,,,,
1009026819197921_233791443697207,Tá passando vergonha página do PT ... Bolsonaro vai ganhar todas as pesquisa,1,,,,,,,,,,,,
1009026819197921_1888320431426652,Printem a vitória de Bolsonaro que daqui a pouco eles tiram a opção Bolsonaro.,1,,,,,,,,,,,,
1009026819197921_233834853692995,Ficou feio pra vcs hein ptezada! Melhor Jair se acostumando! Bolsonaro 2018 e cana na vagabundagem!,1,,,,,,,,,,,,
1009026819197921_224399484634951,"Para o bem do país Bolsonaro, mas ele  está no meio de ladrões então é bom sonhar mas tudo é possível. Bolsonaro 2018.",1,,,,,,,,,,,,
1009026819197921_971801999617029,"Ganhar em casa é bom, mas ganhar fora de casa é melhor ainda 😂❤️
#Bolsonaro2018",1,,,,,,,,,,,,
1009026819197921_772700432877282,"Não adianta chora é Bolsonaro na cabeça , mortadelas . Erondina é minha rola rosada.",1,,,,,,,,,,,,
1009026819197921_1745797462401863,Alguém tem dúvida que se o povo escolhesse quem seria o presidente da câmara o bolsonaro não ganharia? Bolsonaro2018,1,,,,,,,,,,,,
1009026819197921_900681650073933,"Olha a verdade aparecendo nas enquetes petistas, Bolsonaro neles",1,,,,,,,,,,,,
1009026819197921_1304969002930540,"Direcionada e Apelativa, tipo as pesquisas encomendadas, mas mesmo assim deu Bolsonaro. #Bolsonaro2018.",1,,,,,,,,,,,,
1009026819197921_1745746892406920,Até aqui Bolsonaro ganha estourado adivinha quem vai ser presidente em 2018? Se prepara comunistas Bolsonaro chegou com tudo,1,,,,,,,,,,,,
1009026819197921_1222951821134931,Bolsonaro ganhando de lavada em uma página de esquerda. Isso que é opressão! hahahaahahaha,1,,,,,,,,,,,,
1009026819197921_708325142670813,"Bolsonaro de 2018 até 2050!
2018 e 2022 Jair 2026 e 2030 Eduardo 2034 e 2038 Flávio 2042 e 2046 Carlos",1,,,,,,,,,,,,
1009026819197921_690552431124720,"Votarei em BOLSONARO para Presidente/2018 e votaria sim, se pudesse, para presidente dá Câmara.",1,,,,,,,,,,,,
1009026819197921_226743971062814,"O que dói mais na esquerda é o povo apoair Bolsonaro de graça, sem mortadela!",1,,,,,,,,,,,,
1009026819197921_1538568679491299,"Claro que o Bolsonaro não será eleito. Ele é praticamente o único deputado decente na câmara, os corruptos morrem de medo dele.",1,,,,,,,,,,,,
1009026819197921_210791946057129,Erundina kakakakak piadaaa!!!!! Se juntar todos não dá nem metade do nosso futuro presidente!!!! #Bolsonaro2018,1,,,,,,,,,,,,
1009026819197921_1893960050841087,"Eu quero o Bolsonaro pra Presidente do Brasil, mas pode ser da Câmara também!!!",1,,,,,,,,,,,,
1009026819197921_403857863289720,Em memória do Coronel Carlos Brilhante Ustra eu voto no BOLSONARO 2018,1,,,,,,,,,,,,
1009026819197921_1196792587036208,Dói né? Ver o cara que vocês odeiam ganhando na própria página de vocês. Chora esquerda! Bolsonaro ❤❤❤❤❤,1,,,,,,,,,,,,
1009026819197921_1305046072922833,"Bolsonaro para presidente do STF, STJ, STE, PT, PSDB, PUC, USP, Câmara, Senado, Brasil e o Grêmio",1,,,,,,,,,,,,
1009026819197921_388732114829735,"O Mito ganharia em primeiro turno na própria página do PT.... hhahahahah
Bolsonaro: 77% contra os ratos.",1,,,,,,,,,,,,
1009026819197921_233825483693932,"Não adianta ""botar"" carinha de mal para Jair Messias Bolsonaro!!! Ele é o escolhido porque é o melhor!!!!",1,,,,,,,,,,,,
1009026819197921_288024161612515,eu vou de bolsonaro!!!! melhor que ele só o Doria mais ele já prefeito aqui e tá bom de mais,1,,,,,,,,,,,,
1009026819197921_1196751067040360,Onde Jair Messias Bolsonaro está a esquerda não tem vez!!! #SOMOSTODOSBOLSONARO,1,,,,,,,,,,,,
1009026819197921_243831649395232,Aqui no Brasil estão tentando derrubar Bolsonaro mas não vão conseguir vai ser presidente sim,1,,,,,,,,,,,,
1009026819197921_256334718112197,Você vê que o Brasil pode mudar quando a quadrilha perde do povo de bem em casa. #Bolsonaro2018,1,,,,,,,,,,,,
1009026819197921_381423882223746,Todos sabem q Bolsonaro vai ganhar a enquete daí eles fraldam PT piada 😂😂😂,1,,,,,,,,,,,,
1009026819197921_1325288664198566,O único ficha limpa aí é o Bolsonaro. O resto é lixo socialista/corrupto.,1,,,,,,,,,,,,
1009026819197921_1874164579519410,"Se ele não aprovou projeto é pq bolsonaro tá no caminho certo, nesse governo do PT só aprovaram projetos fascistas",1,,,,,,,,,,,,
1009026819197921_1861925277379755,"eu apoio sim Bolsonaro, quem não gostou senta e chora, ISSO É DEMOCRACIA DE TODOS",1,,,,,,,,,,,,
