ID Comentario,Nome do usuário,Mensagem,Ándre,Vinícius
954646961360116_954649364693209,Luis Carlos,"Esta página é muito engraçada, muitos comediantes aqui  kkkkkkkkkkkkkkkkkkkkkkkkkk.  #Bolsonaro2018",1,4
954646961360116_954651078026371,Ricardo Miranda,"Essa pilantra corrupta defende bandido é estuprador é quem é condenado é o BOLSONARO ? 
Esse país é uma Vergonha o poste mija no cachorro literalmente aff",4,4
954646961360116_954678374690308,Francisco Pedroso Laurindo Laurindo,Homem que vota em  Bolsonaro não Respeita a Própria Mãe as Filhas e a Própria Mulher.,2,2
954646961360116_954649354693210,Adriane Gonçalves da Cruz,"As bolsas do Brasil.
Bolsa Família p/ os mais pobres.
Bolsa Atleta p/ o esporte.
Bolsa de estudos p/ os alunos.
Bolsonaro p/ os imbecis.",2,4
954646961360116_954661188025360,Kevini Lima Sousa,"Se você olhar os comentários dos que apoiam o bolsonaro, é tudo igual, parece que copiam tudo de um lugar só e saem reproduzindo,  não tem nem a capacidade mental de usar sinônimos kkkkkkkk",2,2
954646961360116_954822628009216,Renata Oliveira,"Eu vcs não representam!!!É triste ver essa inversão de valores ! Maria do rosário agredio verbalmente Bolsonaro , defende estuprador xampinha e ainda sai impune!!!",4,4
954646961360116_954657908025688,Sidney Xavier,"Ela defende estrupadores
Ela chamou primeiro o Bolsonaro de estrupador
A midia ninja para de ser anti etica
Por isso o pt ta se afundando",4,4
954646961360116_132559167357090,Wesley Friend,"BOLSONARO vai processá-la por chamá-lo de ESTUPRADOR. O ônus da prova cabe a quem acusa, quero ver essa Deputada defensora de vagabundos provar que o futuro Presidente do Brasil é um ESTUPRADOR.",4,4
954646961360116_1522580491138094,Isabela Mesquita,"Pega os 10 mil que vai receber do Bolsonaro e dá para os bandidos que voce defende! Assim eles ficam um tempo sem assaltar trabalhadores, que já são assaltados por voces todos os dias!",4,4
954646961360116_954679424690203,Jair Osvaldo Albano,Parabéns a todas as guerreiras Fora Jair Bolsonaro fascista semeador de ódio..,2,2
954646961360116_954733498018129,Fernando Bezague,Bolsonaro mito Lula e Aécio cadeia na cadeia.  Maria do Rosário apoia bandidos.,1,4
954646961360116_954849018006577,Josedosreis Zezinho,"Mais um motivo para mim trabalhar de graça para ô futuro presidente do Brasil, Jair Messias Bolsonaro presidente em 2018",1,1
954646961360116_954834908007988,Augusto Damasceno,"Vão fumar muita maconha pra comemorar? Kkk grande bosta, uma multa não vai tirar Bolsonaro da disputa pela presidência, a lei da ficha limpa só vale pra crimes de corrupção. Continuem tremendo 😘",1,1
954646961360116_954867228004756,Rafael Nogueira,Quando vejo quem estar contra Bolsonaro eu tenho mais certeza que estou no caminho certo,4,4
954646961360116_264409057395988,Cícera Soares Paiva,Deputado Jean Wyllys. Aprende com Maria do Rosário! Deputado federal descente procura à justiça e vc prefere ser BBB ao cuspir em Bolsonaro Presidente e depois vai chorar do facebook com o processo.,,4
954646961360116_476569432698880,Visime Nimollo,"Uma dupla comemoração, punir o safado do bolsonaro e a soltura do coitadinho do champinha, uma criança inocente.",2,4
954646961360116_954776268013852,Erick Grazina,Bolsonaro condenado pela segunda vez: maravilhoso! Ver o choro nos comentários de seus eleitores pré adolescentes: não tem preço!!,2,2
954646961360116_954809924677153,Cleia Udama Lindiwe,"Ao menos uma boa notícia nesse Brasil, quero ver sustentar, quem defende o bolsonaro defende violência contra mulher e isso nada tem a ver com politica, que toda essa corja caia, um por um.",2,2
954646961360116_357258084708601,Denilson Braga,"Nem Bolsonaro  nem  Lula? 
O PSDB  Sempre  sai vitorioso hein? 
Essa  cambada  de  otario  vai  eleger  o  Doria kkkkk",4,4
954646961360116_954886228002856,Giovane Christe,"Aécio neves narco traficante ,Bolsonaro estrupador  pronto Maluf estrupa mas não mata tá formado o trio de bandidos ..",2,2
954646961360116_954840594674086,Luan Vinicius,#Bolsonaro2018 parabéns para as mulheres que defende uma mulher que apoia estrupadores !,1,4
954646961360116_954690268022452,Maria Rodrigues de Brito,Vocês petistas năo defendi ninguém     .quantas injustiça    .tem por aí  .vai embora    Bolsonaro 2018,1,1
954646961360116_333659733729020,Adeilda Silvestre de França,O Bolsonaro errou esse verme que defende bandido merecia ser  estuprada.  Haja estômago. Nojo,4,4
954646961360116_954681154690030,Rodinei Soares,Bolsonaro Lula tudo igual da até nojo puro atores só enganam quem tem preguiça de pensar.,2,4
954646961360116_954944024663743,Luna Berger,"Coitado do Bolsonaro, querem destruir o mito.
As feministas blindadas a favor da desordem e dos maus feitores, huhhhha pra vcs.
Bolsonaro 2018",4,4
954646961360116_954837501341062,Valmir Alves Pacomio,"Por isso gosto do bolsonaro, porque os porcos nao gostam dele.kkkkkkkkkkkkk, BOLSONARO PRESIDENTE 2018.",1,1
954646961360116_954817598009719,Ernani Kuika,Vergonha nacional...quem denegrida a imagem da mulher é  ela....e não  Bolsonaro...abs..,4,4
954646961360116_954656524692493,Cledson Rodrigues,"Todos políticos e bandido agora ela defendendo ,mas faz nada do que existe corruptas ela não vai fzr nd msm deixa Bolsonaro cuida desse Brasil Bando de vagabundos",1,1
954646961360116_954657888025690,Emerson Dos Santos Bolsonaro,"Você Maria defensora de Bandidos não representa as mulheres Do Brasil. Fale por você sua Doente mental.
BOLSONARO 2O18 😎",4,4
954646961360116_1580433655331607,Tamires Silva,"Gente não consigo ouvir esse mulher nem um minuto kkkk como pode distorcer tanto os fatos, mas ainda existe uma luz no fim do túnel...
#BOLSONARO2018",4,4
954646961360116_954685771356235,Dionata Vielmo Erte,"Quero ver o pessoal dessa foto comemorar quando eles serem condenados, afinal estão todos envolvidos em falcatruas. É questão de tempo. Chamem o Bolsonaro de td, mas quero ver chamar ele de corrupto.",1,1
954646961360116_1368102773289019,Cássio V. Marques,"Não sou fã do bolsonaro, mas a deputada o chamou de estuprador primeiro.",3,4
954646961360116_168212780393135,Fabio Maroja Braga,O Brasil agradece a Maria do Rosário!!! Bolsonaro é um asco!!! #ForaTemer #ForaMaia #ForaBolsonaro,2,2
954646961360116_1292722427506696,Fabio Dos Santos,"Sou contra Bolsonaro, mas o fato de ela ter ganhado não melhora em nada a imagem dela é a mesma sem vergonha defensora de marginais ""vítimas da sociedade """,2,4
954646961360116_499510500391933,Valdinete Marques,Bolsonaro predidente,1,1
954646961360116_1916935201895354,Odilon Zanchett,Bolsonaro continua ficha limpa e apto a concorrer às eleições. Já o candidato preferido desta página.... 😭😭😭,1,1
954646961360116_954652828026196,Atila Nascimento,Bolsonaro se queima sozinho!!!,2,2
954646961360116_251249912050413,Dalva Rosa,Tomou. Bolsonaro. Filho. De. Xogadeira. Porque. Filho. De uma. Mulher. Tu. Nao.  E. Nao. Gosta. De. Mulher.  Kkkkkkk,2,2
954646961360116_954697224688423,Celina Crispim,Mais burro que a família Bolsonaro é os chupa cu deles hahahahahhaahahahah,2,2
954646961360116_954796628011816,Miqueias Araújo,BOLSONARO 2018! Defensor das  Mulheres !! Rosário hipócrita,1,1
954646961360116_954807188010760,Marcone Jose,Bolsonaro presidente 2018,1,1
954646961360116_1916945035227704,Dennys De Mello Silva Mello,"Ela vai ligar até pra champinha,kkkkkkkkk bolsonaro 2018",1,1
954646961360116_954749238016555,João Pavão,Bolsonaro presidente.,1,1
954646961360116_1574383385959409,Vinicius Oliveira,"Em 2018 vai ter Bolsonaro SIIIM!!! kkkk
#OChoroÉLivre",1,1
954646961360116_954788984679247,Elieuzina Acs,"Bolsonaro2018 se mordam, petralhas!",1,1
954646961360116_709734012566273,Thiago Rhazziell,"CHUUUUUUUUUUPA 

bolsonaro seu CORRUPTO!!

HUEHUEHUEHUEHUEHUEHUEHUEHUEHUEHUEHUE",2,2
954646961360116_954784908012988,Boby Almoaya,Bolsonaro 2018 💪👊👑🕶,1,1
954646961360116_954697724688373,Janary Rodrigues,"Condenou porque?? Corrupção??

Bolsonaro Presidente em 2018 nesse eu voto.",1,1
954646961360116_198676157336987,Luiz Gustavo,Sem Lula e sem Bolsonaro em 2018! #Doria2018,2,2
954646961360116_954691981355614,Rosangela Pinha,BOLSONARO 2018 URGENTE,1,1
954646961360116_954826994675446,Clever Rolin,"Esquerdalha vão falar do Aecio, por estão preocupados com o bolsonaro?",4,4
954646961360116_954742621350550,Fabricio Bittencourt,"O choro e livre kkkkkk
2018 vai ter Bolsonaro sim.",1,1
954646961360116_1916923668563174,Tommy Efrom,Bolsonaro Presidente !!!!!,1,1
954646961360116_954769838014495,Nereu Filho Silva,Bolsonaro presidente ordem e progresso,1,1
